Unnamed: 0,year,Name of municipality,Number of inhabitants,Men,Women,Unmarried,Married,Separated,fine particles,ash particles,NO2,Households total,Households without children,Percentage of family house,Percentage of multiple dwelling units,Owner-occupied housing,Rental housing total,Average electricity consumption total,Average natural gas consumption total,Average per capita income, Low-income households,Passenger cars total
12244,2014,Geldrop-Mierlo,28725,14250,14475,44.0,43.0,8.0,22.12,0.98,23.46,12760,32.0,75.0,25.0,63.0,36.0,3250.0,1300.0,23.3,8.8,14285
12255,2014,Olst-Wijhe,5380,2675,2700,43.0,46.0,6.0,19.49,0.64,13.9,2220,36.0,85.0,15.0,61.0,38.0,3100.0,1350.0,21.1,7.2,2480
12288,2014,Dinkelland,8880,4490,4390,43.0,46.0,5.0,19.71,0.61,14.12,3630,33.0,87.0,13.0,67.0,32.0,3700.0,1500.0,21.0,6.5,4530
12343,2014,Westland,18210,8975,9230,44.0,45.0,5.0,20.8,0.91,26.64,7695,33.0,66.0,34.0,65.0,34.0,3250.0,1150.0,24.0,7.3,9260
12427,2014,Midden-Delfland,11945,6100,5845,46.0,45.0,5.0,21.11,0.98,27.05,4705,30.0,73.0,27.0,73.0,27.0,3300.0,1050.0,25.5,5.1,5120
12442,2014,Berkelland,10595,5310,5285,42.0,47.0,5.0,20.5,0.63,14.39,4355,37.0,81.0,19.0,64.0,35.0,3300.0,1450.0,21.1,6.8,5410
12486,2014,Bronckhorst,8230,4145,4085,42.0,47.0,5.0,20.37,0.67,14.65,3410,37.0,83.0,17.0,67.0,30.0,3600.0,1550.0,21.5,5.8,4395
12539,2014,Sittard-Geleen,5950,2920,3030,46.0,37.0,11.0,21.14,1.11,22.07,2605,27.0,57.0,43.0,47.0,49.0,3150.0,550.0,21.9,14.1,2920
12576,2014,Kaag en Braassem,11510,5775,5735,45.0,45.0,5.0,20.35,0.85,20.35,4730,32.0,77.0,23.0,60.0,38.0,3300.0,1250.0,23.8,5.5,5385
12603,2014,Dantumadiel,7070,3545,3525,43.0,48.0,4.0,16.26,0.4,11.01,2840,33.0,93.0,7.0,66.0,33.0,2800.0,1550.0,17.7,9.7,3425
12622,2014,Zuidplas,3960,1930,2030,45.0,46.0,4.0,20.49,0.87,22.72,1410,31.0,84.0,16.0,66.0,30.0,3550.0,1350.0,22.7,4.7,1905
12681,2014,Peel en Maas,2980,1585,1390,47.0,46.0,4.0,22.68,0.83,18.38,1070,36.0,95.0,5.0,75.0,25.0,4300.0,1650.0,19.8,5.4,1590
12715,2014,Oldambt,18185,8775,9405,41.0,40.0,10.0,17.05,0.47,11.81,8715,31.0,72.0,28.0,60.0,40.0,2850.0,1500.0,19.4,13.3,8570
12771,2014,Zwartewaterland,9530,4830,4700,46.0,48.0,2.0,18.35,0.56,13.25,3230,26.0,87.0,13.0,74.0,25.0,3450.0,1450.0,18.5,5.5,3825
12808,2014,Súdwest-Fryslân,10155,5000,5155,45.0,42.0,7.0,16.59,0.45,12.8,4455,32.0,81.0,19.0,58.0,42.0,2600.0,1300.0,19.5,10.1,4195
13069,2014,Bodegraven-Reeuwijk,5330,2575,2755,41.0,46.0,7.0,20.52,0.81,16.62,2340,34.0,71.0,29.0,58.0,41.0,2950.0,1200.0,23.2,8.0,2340
13113,2014,Eijsden-Margraten,8765,4330,4435,39.0,49.0,6.0,20.44,1.01,17.46,3640,36.0,85.0,15.0,71.0,28.0,3600.0,1450.0,24.0,5.3,4290
13155,2014,Stichtse Vecht,22840,11225,11615,45.0,43.0,8.0,21.83,1.13,24.36,9630,30.0,78.0,22.0,64.0,36.0,3250.0,1100.0,23.7,7.0,10100
13283,2014,Menameradiel,6250,3160,3090,42.0,47.0,5.0,16.33,0.41,11.36,2585,35.0,89.0,11.0,70.0,30.0,3000.0,1550.0,21.4,6.1,3150
13306,2014,Hollands Kroon,4320,2200,2120,48.0,43.0,5.0,17.42,0.5,12.01,1740,32.0,91.0,9.0,73.0,26.0,3350.0,1400.0,21.3,7.7,2395
13362,2014,Leidschendam-Voorburg,5015,2360,2650,35.0,47.0,8.0,20.78,0.98,24.34,2435,35.0,55.0,45.0,60.0,40.0,3000.0,1200.0,31.3,6.1,2370
13397,2014,Goeree-Overflakkee,1995,990,1005,39.0,52.0,4.0,18.04,0.56,14.19,810,34.0,93.0,7.0,71.0,29.0,3450.0,1400.0,27.5,3.8,1060
13450,2014,Pijnacker-Nootdorp,23230,11545,11685,46.0,45.0,6.0,21.81,1.22,30.81,9350,31.0,76.0,24.0,68.0,32.0,3250.0,1100.0,24.9,6.1,10410
13480,2014,Molenwaard,9435,4835,4600,45.0,47.0,4.0,21.22,0.9,20.96,3415,31.0,89.0,11.0,57.0,43.0,3100.0,1200.0,19.7,4.8,3890
13511,2014,Montferland,14165,7100,7060,41.0,46.0,7.0,21.0,0.86,16.97,6190,34.0,80.0,20.0,63.0,36.0,3250.0,1400.0,20.4,9.3,7235
13538,2014,Menterwolde,3775,1930,1845,42.0,46.0,7.0,16.92,0.45,12.0,1600,35.0,95.0,5.0,67.0,32.0,3350.0,1650.0,21.0,8.3,2055
13557,2015,Appingedam,12010,5805,6205,4990.0,5105.0,1015.0,14.77,0.39,10.5,5550,1835.0,72.0,28.0,48.0,52.0,2660.0,1450.0,20.8,9.7,5265
13563,2015,Bedum,10440,5220,5215,4565.0,4795.0,575.0,14.2,0.33,9.22,4310,1520.0,85.0,15.0,68.0,32.0,2880.0,1600.0,21.9,5.3,4760
13571,2015,Bellingwedde,4205,2130,2070,1705.0,1880.0,345.0,15.23,0.35,9.57,1975,710.0,94.0,6.0,71.0,27.0,3320.0,1900.0,19.7,9.3,2355
